# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0348761         	1.9146849273e+05
0.0348968         	1.9138473473e+05
0.0349174         	1.9130071085e+05
0.0349381         	1.9121701129e+05
0.0349587         	1.9113188274e+05
0.0349794         	1.9104610763e+05
0.035             	1.9095947283e+05
0.0350202         	1.9087448314e+05
0.0350407         	1.9078703945e+05
0.0350612         	1.9069851439e+05
0.0350815         	1.9061045074e+05
0.0351018         	1.9052200077e+05
0.0351221         	1.9043273939e+05
0.0351424         	1.9034253802e+05
0.0351629         	1.9024976041e+05
0.0351834         	1.9015653200e+05
0.0352041         	1.9006147060e+05
0.0352248         	1.8996549476e+05
0.0352455         	1.8986884471e+05
0.0352662         	1.8977100834e+05
0.0352871         	1.8967025751e+05
0.0353077         	1.8956946162e+05
0.0353284         	1.8946577854e+05
0.0353489         	1.8936255008e+05
0.0353692         	1.8925946710e+05
0.0353895         	1.8915659870e+05
0.0354098         	1.8905293858e+05
0.0354301         	1.8894863860e+05
0.0354504         	1.8884403488e+05
0.0354707         	1.8873905310e+05
0.035491          	1.8863323001e+05
0.0355113         	1.8852583064e+05
0.0355318         	1.8841470152e+05
0.035552          	1.8830430508e+05
0.0355723         	1.8819209148e+05
0.0355928         	1.8807803165e+05
0.0356131         	1.8796497148e+05
0.0356334         	1.8785104360e+05
0.0356537         	1.8773626687e+05
0.0356738         	1.8762194395e+05
0.0356938         	1.8750603406e+05
0.0357139         	1.8738871685e+05
0.035734          	1.8727008024e+05
0.0357543         	1.8714882890e+05
0.0357746         	1.8702618499e+05
0.0357949         	1.8690259188e+05
0.0358152         	1.8677683726e+05
0.0358355         	1.8665041227e+05
0.0358555         	1.8652455077e+05
0.0358756         	1.8639830527e+05
0.0358956         	1.8627018887e+05
0.0359157         	1.8614146433e+05
0.0359355         	1.8601384585e+05
0.0359553         	1.8588608402e+05
0.0359751         	1.8575814457e+05
0.0359952         	1.8562740809e+05
0.0360152         	1.8549603777e+05
0.0360353         	1.8536328853e+05
0.0360551         	1.8523119380e+05
0.0360749         	1.8509709036e+05
0.0360947         	1.8496215371e+05
0.0361145         	1.8482678793e+05
0.0361343         	1.8469076685e+05
0.0361544         	1.8455192319e+05
0.0361744         	1.8441332880e+05
0.0361945         	1.8427329657e+05
0.0362146         	1.8413265967e+05
0.0362347         	1.8399014801e+05
0.0362548         	1.8384734158e+05
0.0362745         	1.8370620773e+05
0.0362943         	1.8356485674e+05
0.0363141         	1.8342246496e+05
0.0363338         	1.8328024933e+05
0.0363536         	1.8313765680e+05
0.0363734         	1.8299457015e+05
0.0363928         	1.8285389557e+05
0.0364122         	1.8271234599e+05
0.0364316         	1.8257054167e+05
0.0364511         	1.8242811265e+05
0.0364705         	1.8228539031e+05
0.0364899         	1.8214147603e+05
