# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0126547         	1.2282509583e+05
0.012686          	1.2303052601e+05
0.0127173         	1.2323687591e+05
0.0127485         	1.2344413645e+05
0.0127802         	1.2365525674e+05
0.012812          	1.2386730973e+05
0.0128437         	1.2408027068e+05
0.0128759         	1.2429739259e+05
0.012908          	1.2451552853e+05
0.0129402         	1.2473463561e+05
0.0129724         	1.2495470670e+05
0.0130051         	1.2517928011e+05
0.0130378         	1.2540483355e+05
0.0130705         	1.2563132401e+05
0.0131032         	1.2585869113e+05
0.0131359         	1.2608694398e+05
0.0131692         	1.2632024206e+05
0.0132025         	1.2655450489e+05
0.0132358         	1.2678966512e+05
0.0132691         	1.2702568167e+05
0.0133024         	1.2726267276e+05
0.0133356         	1.2750070194e+05
0.0133696         	1.2774461618e+05
0.0134036         	1.2798962347e+05
0.0134375         	1.2823569450e+05
0.0134715         	1.2848275344e+05
0.0135055         	1.2873079458e+05
0.0135402         	1.2898568167e+05
0.013575          	1.2924151795e+05
0.0136097         	1.2949837085e+05
0.0136445         	1.2975622890e+05
0.0136793         	1.3001508936e+05
0.013714          	1.3027491877e+05
0.0137497         	1.3054298679e+05
0.0137855         	1.3081212535e+05
0.0138212         	1.3108234813e+05
0.0138569         	1.3135366475e+05
0.0138926         	1.3162612430e+05
0.0139283         	1.3189947897e+05
0.0139641         	1.3217372567e+05
0.0140011         	1.3245888205e+05
0.0140381         	1.3274516494e+05
0.0140751         	1.3303256723e+05
0.0141121         	1.3332115283e+05
0.0141491         	1.3361099768e+05
0.0141861         	1.3390202699e+05
0.0142231         	1.3419425128e+05
0.01426           	1.3448755704e+05
0.014297          	1.3478213251e+05
0.014334          	1.3507781064e+05
0.014371          	1.3537445549e+05
0.014408          	1.3567212815e+05
0.014445          	1.3597106176e+05
0.014482          	1.3627123110e+05
0.014519          	1.3657243966e+05
0.014556          	1.3687478086e+05
0.014593          	1.3717827681e+05
0.01463           	1.3748297544e+05
0.014667          	1.3778865626e+05
0.014704          	1.3809533828e+05
0.014741          	1.3840307241e+05
0.014778          	1.3871188159e+05
0.014815          	1.3902204335e+05
0.014852          	1.3933355868e+05
0.014889          	1.3964626210e+05
0.014926          	1.3996014950e+05
0.014963          	1.4027528970e+05
0.015             	1.4059168170e+05
0.0150379         	1.4091675983e+05
0.0150758         	1.4124318964e+05
0.0151136         	1.4157112698e+05
0.0151515         	1.4190033770e+05
0.0151894         	1.4223088444e+05
0.0152273         	1.4256293395e+05
0.0152652         	1.4289631105e+05
0.0153024         	1.4322535267e+05
0.0153396         	1.4355574937e+05
0.0153763         	1.4388160560e+05
0.0154129         	1.4420895810e+05
0.0154495         	1.4453752263e+05
0.0154861         	1.4486740445e+05
0.0155221         	1.4519272595e+05
0.015558          	1.4551946847e+05
0.015594          	1.4584763880e+05
0.0156293         	1.4617106050e+05
0.0156646         	1.4649571096e+05
0.0156999         	1.4682158744e+05
0.0157352         	1.4714887252e+05
0.0157698         	1.4747136415e+05
0.0158044         	1.4779515053e+05
0.015839          	1.4812027741e+05
0.0158736         	1.4844676506e+05
0.0159082         	1.4877451121e+05
0.0159428         	1.4910355142e+05
0.0159767         	1.4942693406e+05
0.0160105         	1.4975186689e+05
0.0160444         	1.5007822838e+05
0.0160782         	1.5040604533e+05
0.0161121         	1.5073517985e+05
0.0161459         	1.5106581812e+05
0.0161798         	1.5139769353e+05
0.0162136         	1.5173099571e+05
0.0162475         	1.5206596107e+05
0.0162813         	1.5240241771e+05
0.0163152         	1.5274028664e+05
0.016349          	1.5307980285e+05
0.0163829         	1.5342054811e+05
0.0164167         	1.5376278936e+05
0.0164506         	1.5410653458e+05
0.0164844         	1.5445197867e+05
0.0165183         	1.5479896911e+05
0.0165521         	1.5514751969e+05
0.016586          	1.5549773548e+05
0.0166198         	1.5584946426e+05
0.0166537         	1.5620268707e+05
0.0166876         	1.5655722919e+05
0.0167214         	1.5691150953e+05
0.0167553         	1.5726837379e+05
0.0167891         	1.5762704031e+05
0.016823          	1.5798735855e+05
0.0168568         	1.5834901198e+05
0.0168907         	1.5871199798e+05
0.0169245         	1.5907643486e+05
0.0169584         	1.5944066701e+05
0.0169922         	1.5980767166e+05
0.0170261         	1.6017590910e+05
0.0170599         	1.6054533714e+05
0.0170938         	1.6091585177e+05
0.0171276         	1.6128771754e+05
0.0171615         	1.6166062881e+05
0.0171953         	1.6203432729e+05
0.0172292         	1.6240740292e+05
0.017263          	1.6278281338e+05
0.0172969         	1.6315760421e+05
0.0173307         	1.6353469552e+05
0.0173646         	1.6391125202e+05
0.0173984         	1.6429028681e+05
0.0174323         	1.6466869827e+05
0.0174661         	1.6504916505e+05
0.0175            	1.6542886188e+05
0.0175362         	1.6583770578e+05
